Module	Section	Sample Name	Source
Cutadapt	all_sections	SLX-11165.ORDRF04.HFN3MBBXX.s_7.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRF04.HFN3MBBXX.s_7.r_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	SLX-11165.ORDRB05.HFN3MBBXX.s_6.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRA11.HFN3MBBXX.s_6.r_1.fq.gz_fastq_star_clusterFlow.txt
Cutadapt	all_sections	SLX-11165.ORDRE11.HFMVTBBXX.s_1.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRE11.HFMVTBBXX.s_1.r_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	SLX-11165.ORDRB06.HFN3MBBXX.s_5.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRB06.HFN3MBBXX.s_5.r_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	SLX-11165.ORDRF11.HFN3MBBXX.s_6.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRF11.HFN3MBBXX.s_6.r_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	SLX-11165.ORDRF06.HFN3MBBXX.s_5.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRF06.HFN3MBBXX.s_5.r_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	SLX-11165.ORDRH07.HFMVTBBXX.s_1.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRH07.HFMVTBBXX.s_1.r_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	SLX-11165.ORDRC08.HFN3MBBXX.s_5.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRC08.HFN3MBBXX.s_5.r_1.fq.gz_trimming_report.txt
Cutadapt	all_sections	SLX-11165.ORDRC09.HFN3MBBXX.s_6.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRC06.HFN3MBBXX.s_7.r_1.fq.gz_fastq_star_clusterFlow.txt
Cutadapt	all_sections	SLX-11165.ORDRG08.HFN3MBBXX.s_6.r_1	/rds/project/rsh46/rds-rsh46-ctr-bfx/CTR-Projects/CTR_kf284_0002/SLX-11165.ORDRG08.HFN3MBBXX.s_6.r_1.fq.gz_trimming_report.txt
